순위,키워드,분류,기회점수,수요점수,경쟁낮음점수,AI점수,경쟁난이도%,상태,관심도,상승률%,최고대비%,빈구간비율,계절성%,뜨는달,최근30일%,장악%,전체문서수,AI인용적합,처방
103,이어폰 습기 제거,문제해결,23.8,0.0,17.6,30.0,41.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,50.0,11976,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
104,셔터스피드 뜻,카메라,23.8,0.0,17.6,30.0,41.4,관심 미미,0.0,0.0,0.0,0.944,331.2,1월·3월,35.0,27.5,8241,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
105,턴테이블 수평 맞추기,LP관리,23.8,0.0,17.6,30.0,41.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,20.0,57.5,3261,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
106,삼성 언팩,공식뉴스,23.8,1.6,22.3,0.0,25.8,하락,0.118,-59.7,0.8,0.0,457.8,2월·7월,2.5,15.0,102843,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
107,다이렉트 드라이브 벨트 드라이브 차이,바이닐,23.6,0.0,17.2,30.0,42.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,35.0,45.0,861,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
108,이어폰 지연 줄이기,AI인용,23.5,0.0,17.1,30.0,43.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,0.0,87.5,16190,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
109,와이파이 6 차이,연결,23.5,0.0,17.0,30.0,43.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,7.5,65.0,159536,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
110,아이폰 안드로이드 차이,성능,23.4,0.0,16.9,30.0,43.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,37.8,16.2,125989,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
111,앰프 필요한 이유,원리,23.3,0.0,16.7,30.0,44.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,0.0,85.0,51511,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
112,노출 보정 방법,설정,23.3,0.0,16.6,30.0,44.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,2.5,77.5,127687,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
113,갤럭시 폴드,루머,23.3,8.7,14.5,0.0,51.5,식는 중,3.727,-30.9,44.5,0.0,94.3,7월·8월,22.5,67.5,410749,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
114,밸런스드 아마추어란,음질,23.1,0.0,16.2,30.0,46.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,30.0,55.0,4505,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
115,RAW JPEG 차이,카메라,23.1,0.0,16.1,30.0,46.2,관심 미미,0.0,-100.0,0.0,0.833,158.4,4월·6월,30.0,55.0,4686,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
116,이어폰 한쪽만 소리 안날 때,문제해결,22.9,0.0,15.7,30.0,47.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,45.0,22.5,39872,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
117,100 충전 안좋은 이유,배터리,22.7,0.0,15.4,30.0,48.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,35.0,37.5,376580,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
118,돌비 애트모스란,음질,22.6,0.0,15.2,30.0,49.2,관심 미미,0.0,-100.0,0.0,0.861,84.6,1월·6월,2.5,95.0,73445,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
119,이어폰 귀 건강,건강,22.5,0.0,15.0,30.0,50.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,45.0,25.0,135370,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
120,애플 가격 인상,공식뉴스,22.4,3.5,18.8,0.0,37.2,식는 중,0.611,-19.2,6.7,0.0,256.3,6월·7월,22.5,20.0,347325,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
121,공간음향 설정,음질,22.0,0.0,14.0,30.0,53.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,32.5,57.5,140531,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
122,충전 배터리 오래 쓰는 법,배터리,22.0,0.0,14.0,30.0,53.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,32.5,57.5,175561,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
123,공간음향 원리,AI인용,21.9,0.0,13.8,30.0,53.9,관심 미미,0.0,-100.0,0.0,0.861,84.6,1월·6월,27.5,75.0,25185,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
124,브이로그 카메라,추천,21.5,3.7,17.8,0.0,40.8,유지,0.671,12.3,53.0,0.0,41.9,1월·2월,10.0,52.5,177114,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
125,맥북 신제품,공식뉴스,21.5,0.2,21.3,0.0,29.1,하락,0.002,-67.6,0.6,0.472,282.1,2월·3월,7.5,22.5,44565,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
126,무선충전 단점,배터리,21.4,0.0,12.7,30.0,57.5,관심 미미,0.002,999.0,116.2,0.972,700.0,1월·8월,46.9,46.9,366308,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
127,운동용 이어폰,구매검토,21.4,5.4,16.0,0.0,46.8,유지,1.432,-3.4,80.5,0.0,19.4,1월·3월,2.5,85.0,163632,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
128,가성비 이어폰,구매검토,21.1,1.7,19.4,0.0,35.2,유지,0.137,13.8,87.7,0.0,18.6,3월·7월,5.0,42.5,404769,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
129,샤오미 이어폰 후기,리뷰,21.0,0.8,20.2,0.0,32.6,유지,0.032,2.3,16.8,0.0,107.3,1월·2월,10.7,35.7,13344,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
130,iOS 업데이트,공식뉴스,21.0,3.9,17.1,0.0,42.9,유지,0.729,0.4,19.0,0.0,137.0,1월·2월,28.6,28.6,257232,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
131,애플 비전,루머,20.9,2.2,18.7,0.0,37.7,유지,0.231,-11.0,30.5,0.0,62.3,1월·2월,7.7,46.2,160846,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
132,갤럭시 배터리 관리,배터리,20.8,0.0,11.7,30.0,61.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,40.0,70.0,237278,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
133,아이패드 신제품,루머,20.8,1.1,19.7,0.0,34.5,급상승,0.044,92.2,43.0,0.056,84.7,2월·3월,11.5,30.8,73451,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
134,입문용 턴테이블,추천,20.7,0.4,20.3,0.0,32.3,상승,0.02,43.9,121.1,0.083,141.4,1월·8월,5.0,47.5,7887,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
135,고속충전 원리,배터리,20.6,0.0,11.3,30.0,62.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,35.0,90.0,29458,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
136,앤커 이어폰 후기,리뷰,20.5,2.0,18.5,0.0,38.2,식는 중,0.195,-19.2,69.2,0.0,50.2,1월·8월,27.5,30.0,7413,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
137,LP 추천,추천,20.1,0.5,19.6,0.0,34.8,식는 중,0.032,-18.8,66.5,0.0,28.0,1월·2월,2.5,45.0,374947,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
138,원 UI 업데이트,공식뉴스,20.1,0.2,19.8,0.0,33.9,급상승,0.006,500.0,36.3,0.306,106.6,3월·5월,15.6,21.9,77400,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
139,애플 이벤트,공식뉴스,19.9,3.4,16.5,0.0,45.0,급상승,0.438,521.0,45.2,0.028,219.5,2월·3월,50.0,0.0,754554,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
140,클라우드 백업 방법,저장공간,19.2,0.0,8.5,30.0,71.8,관심 미미,0.0,0.0,0.0,0.972,700.0,1월·2월,60.0,72.5,189706,높음,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
141,무선이어폰 추천,구매검토,19.1,4.4,14.7,0.0,51.0,유지,0.944,10.5,83.6,0.0,28.4,1월·3월,12.5,82.5,352874,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
142,애플워치 신제품,루머,19.1,4.4,14.6,0.0,51.2,유지,0.956,7.0,103.9,0.0,13.8,1월·8월,50.0,25.0,47657,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
143,게이밍 헤드셋 추천,추천,18.9,1.6,17.3,0.0,42.2,유지,0.122,-10.4,47.6,0.0,78.5,1월·2월,5.0,67.5,74833,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
144,망원렌즈 언제 쓰나,렌즈,18.6,0.0,22.1,15.0,26.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.2,22.2,133,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
145,미러리스 추천,추천,18.5,0.2,18.3,0.0,39.0,급상승,0.005,118.2,33.2,0.194,107.1,4월·5월,5.0,55.0,189299,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
146,입문용 미러리스,추천,18.4,0.2,18.2,0.0,39.4,급상승,0.003,190.9,25.8,0.417,293.6,1월·2월,12.5,52.5,22374,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
147,턴테이블 추천,음악,18.3,1.5,16.8,0.0,44.0,식는 중,0.11,-22.1,39.8,0.0,63.2,1월·2월,0.0,80.0,132530,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
148,렌즈 마운트 호환,렌즈,18.2,0.0,21.5,15.0,28.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,15.0,26750,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
149,번들렌즈 화질,렌즈,17.9,0.0,20.8,15.0,30.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,7.5,32.5,18468,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
150,LP 정전기 제거,관리,17.7,0.0,20.3,15.0,32.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,10.0,50.0,1114,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
151,애플 신제품,공식뉴스,17.6,3.6,14.0,0.0,53.3,급상승,0.493,153.6,31.0,0.0,166.7,3월·8월,54.2,20.8,305604,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
152,렌즈 곰팡이 제거,관리,17.4,0.0,19.8,15.0,34.1,관심 미미,0.0,0.0,0.0,0.917,546.4,2월·3월,7.5,45.0,16336,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
153,이어폰 추천,추천,17.4,2.3,15.1,0.0,49.8,유지,0.254,8.4,68.4,0.0,23.3,1월·7월,2.5,95.0,958800,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
154,노출 삼요소,기초,17.3,0.0,19.7,15.0,34.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,19.4,50.0,276,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
155,렌즈 먼지 제거,관리,17.3,0.0,19.6,15.0,34.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,10.0,32.5,104049,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
156,노이즈캔슬링 이어폰,구매검토,17.3,3.4,13.9,0.0,53.8,유지,0.575,12.2,94.4,0.0,21.1,1월·3월,15.0,87.5,259716,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
157,사진 흔들림 방지,설정,17.2,0.0,19.4,15.0,35.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,27.5,5.0,318696,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
158,DAC 추천,구매검토,17.2,1.5,15.6,0.0,47.9,유지,0.115,7.1,65.0,0.0,42.4,1월·3월,0.0,97.5,44713,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
159,LP 곰팡이 제거,관리,17.0,0.0,19.0,15.0,36.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,42.5,1368,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
160,렌즈 손떨림 보정,렌즈,17.0,0.0,19.0,15.0,36.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,10.0,42.5,56621,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
161,LP 플레이어 추천,추천,16.9,0.4,16.4,0.0,45.2,유지,0.024,-10.3,56.3,0.0,17.4,3월·4월,0.0,90.0,35922,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
162,렌즈 F값 의미,렌즈,16.7,0.0,18.5,15.0,38.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,25.0,33.3,9974,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
163,여행용 카메라,추천,16.7,1.3,15.4,0.0,48.8,유지,0.083,-11.6,43.6,0.0,61.9,1월·2월,12.5,75.0,1017410,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
164,오픈형 이어폰 추천,추천,16.6,1.4,15.2,0.0,49.2,유지,0.091,-6.3,82.8,0.0,22.3,1월·3월,0.0,97.5,98187,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
165,노이즈캔슬링 이어폰 추천,추천,16.1,0.6,15.5,0.0,48.3,상승,0.04,37.0,90.6,0.0,24.3,3월·4월,2.5,90.0,150693,낮음(상업형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
166,표준렌즈란,렌즈,15.8,0.0,16.6,15.0,44.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,52.5,168565,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
167,애플 신제품 발표,공식뉴스,15.7,1.3,14.4,0.0,52.0,급상승,0.066,348.7,13.9,0.417,316.8,2월·3월,41.4,37.9,95038,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
168,심도란,기초,15.4,0.0,15.9,15.0,47.0,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,52.5,1938694,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
169,광각렌즈 특징,렌즈,13.0,0.0,11.0,15.0,63.4,관심 미미,0.0,0.0,0.0,0.972,700.0,1월·4월,40.0,82.5,45083,중간,"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
170,갤럭시 폴드 루머,루머,11.1,0.0,22.3,0.0,25.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,2.5,25.0,17689,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
171,캐논 미러리스 후기,리뷰,11.0,0.0,22.0,0.0,26.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,7.5,15.0,40137,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
172,갤럭시 언팩 일정,루머,11.0,0.0,21.9,0.0,26.9,관심 미미,0.004,5.7,2.1,0.639,562.8,5월·7월,2.5,25.0,33962,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
173,중고 LP 구매,추천,10.9,0.0,21.9,0.0,27.1,관심 미미,0.0,0.0,0.0,0.861,611.3,1월·3월,2.6,23.7,46403,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
174,젠하이저 이어폰 후기,리뷰,10.7,0.0,21.5,0.0,28.3,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,15.0,20.0,5154,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
175,바이닐 스피커,추천,10.5,0.0,21.0,0.0,30.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,10.0,9493,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
176,오디오테크니카 후기,리뷰,10.4,0.0,20.8,0.0,30.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,32.5,4375,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
177,애플워치 루머,루머,10.3,0.0,20.7,0.0,31.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,11.1,29.6,14823,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
178,포노앰프 추천,추천,10.2,0.0,20.4,0.0,31.9,관심 미미,0.0,0.0,0.0,0.833,330.9,4월·5월,7.5,45.0,4682,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
179,소니 헤드폰 후기,리뷰,10.1,0.0,20.2,0.0,32.6,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,7.5,37.5,25044,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
180,에어팟 루머,루머,10.1,0.0,20.2,0.0,32.6,관심 미미,0.028,104.3,123.2,0.528,305.6,7월·8월,25.8,12.9,9168,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
181,오디오테크니카 헤드폰 후기,리뷰,10.0,0.0,20.0,0.0,33.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,22.5,30.0,1772,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
182,후지필름 카메라 후기,리뷰,10.0,0.0,20.1,0.0,33.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,2.5,47.5,25342,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
183,에어팟 프로 후기,리뷰,9.9,0.0,19.9,0.0,33.7,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,25.0,99724,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
184,소니 카메라 후기,리뷰,9.8,0.0,19.6,0.0,34.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,15.0,25.0,87112,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
185,LP 입문,음악,9.6,0.0,19.2,0.0,36.0,관심 미미,0.0,0.0,0.0,0.778,203.5,1월·2월,10.0,45.0,23330,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
186,마샬 스피커 후기,리뷰,9.4,0.0,18.8,0.0,37.2,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,25.0,20.0,46616,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
187,갤럭시 루머,루머,9.3,0.0,18.6,0.0,38.1,관심 미미,0.0,0.0,0.0,0.861,442.1,6월·7월,16.0,36.0,68369,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
188,아이패드 루머,루머,9.3,0.0,18.6,0.0,38.1,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,21.2,33.3,24369,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
189,가성비 렌즈 추천,추천,9.1,0.0,18.2,0.0,39.2,관심 미미,0.0,0.0,0.0,0.889,312.9,1월·2월,25.0,22.5,290760,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
190,보스 이어폰 후기,리뷰,9.1,0.0,18.2,0.0,39.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,27.5,30.0,14148,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
191,젠하이저 후기,리뷰,8.9,0.0,17.9,0.0,40.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,5.0,72.5,10848,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
192,후지필름 신제품,루머,8.9,0.0,17.7,0.0,40.9,관심 미미,0.0,0.0,0.0,0.917,589.1,1월·7월,12.5,62.5,9208,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
193,니콘 미러리스 후기,리뷰,8.8,0.0,17.6,0.0,41.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,32.5,30.0,11485,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
194,아이폰 루머,루머,8.8,0.0,17.6,0.0,41.3,관심 미미,0.008,-13.4,8.9,0.611,510.0,7월·8월,16.7,44.4,81975,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
195,에어팟 프로 카메라,루머,8.7,0.0,17.4,0.0,42.0,관심 미미,0.0,-100.0,0.0,0.972,700.0,1월·8월,20.0,45.0,41090,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
196,JBL 스피커 후기,리뷰,8.6,0.0,17.2,0.0,42.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,0.0,80.0,43222,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
197,갤럭시 버즈 후기,리뷰,8.6,0.0,17.3,0.0,42.5,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,12.5,55.0,84401,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
198,캐논 신제품 루머,루머,8.6,0.0,17.3,0.0,42.4,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,70.0,1414,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
199,소니 카메라 루머,루머,8.4,0.0,16.9,0.0,43.8,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,17.5,65.0,7581,낮음(뉴스형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
200,시그마 렌즈 후기,리뷰,8.3,0.0,16.5,0.0,44.9,관심 미미,0.0,0.0,0.0,1.0,0.0,1월·2월,42.5,27.5,6918,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
201,갤럭시 워치 후기,리뷰,8.0,0.0,16.0,0.0,46.8,관심 미미,0.0,0.0,0.0,0.889,319.3,1월·4월,2.5,85.0,143966,낮음(상업형),"이 표현은 검색이 거의 없습니다. 말을 바꿔보세요('~란'→'~ 뜻', '원리'→'왜')."
202,갤럭시 신제품,공식뉴스,7.8,1.4,6.5,0.0,78.5,하락,0.09,-48.1,19.5,0.0,180.8,7월·8월,60.0,95.0,249295,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
